Date,pm1.0,pm2.5,pm10,temp,humi,voc,co2,radon,24hour,1hour
2020-02-25 10:00,24.0,22.0,34.0,6.16,90.26,179.0,684.0,0.0,22.0,22.0
2020-02-25 11:00,12.0,14.0,23.0,7.21,91.38,103.0,598.0,30.0,27.574585635359117,27.574585635359117
2020-02-25 12:00,12.0,12.0,22.0,7.42,91.3,0.0,400.0,27.0,22.290858725761773,16.96132596685083
2020-02-25 13:00,40.0,28.0,32.0,7.54,91.21,22.0,400.0,36.0,24.55637707948244,29.005524861878452
2020-02-25 14:00,2.0,1.0,3.0,8.41,90.48,157.0,485.0,15.0,20.198335644937586,7.2154696132596685
2020-02-25 15:00,2.0,1.0,3.0,8.34,89.44,43.0,400.0,15.0,16.380688124306328,1.0883977900552486
2020-02-25 16:00,34.0,26.0,41.0,9.32,86.71,56.0,400.0,12.0,14.843663274745605,7.116022099447513
2020-02-25 17:00,0.0,0.0,2.0,9.89,86.39,14.0,400.0,12.0,13.501189532117367,5.552486187845304
2020-02-25 18:00,0.0,0.0,0.0,9.85,84.07,39.0,400.0,48.0,11.8147120055517,0.0
2020-02-25 19:00,8.0,5.0,9.0,9.58,82.35,17.0,400.0,27.0,10.573103022825416,0.6298342541436464
2020-02-25 20:00,10.0,6.0,10.0,9.57,78.95,5.0,400.0,21.0,10.857856746252082,13.375690607734807
2020-02-25 21:00,37.0,30.0,50.0,9.04,71.48,3.0,400.0,30.0,11.26653205451792,15.303867403314918
2020-02-25 22:00,0.0,0.0,0.0,8.54,71.14,16.0,400.0,12.0,10.679315131883387,4.359116022099448
2020-02-25 23:00,0.0,0.0,0.0,8.21,71.13,21.0,400.0,18.0,9.858180264844083,0.0
2020-02-26 00:00,0.0,0.0,0.0,7.91,69.55,13.0,400.0,30.0,9.154303847679492,0.0
2020-02-26 01:00,0.0,0.0,1.0,7.75,71.09,11.0,400.0,24.0,8.544242873009996,0.0
2020-02-26 02:00,3.0,1.0,3.0,7.61,69.33,20.0,400.0,33.0,8.034015966678236,0.3756906077348066
2020-02-26 03:00,5.0,3.0,5.0,7.62,71.48,39.0,400.0,27.0,7.629859523031689,1.160220994475138
2020-02-26 04:00,1.0,1.0,2.0,7.51,74.6,30.0,400.0,30.0,7.311940759024992,1.9116022099447514
2020-02-26 05:00,17.0,12.0,21.0,7.16,76.51,0.0,400.0,39.0,7.313066354866998,7.298342541436464
2020-02-26 06:00,3.0,3.0,7.0,7.47,77.5,32.0,400.0,30.0,7.340460983060261,7.883977900552487
2020-02-26 07:00,2.0,1.0,3.0,8.06,74.38,80.0,400.0,36.0,7.05368950013224,1.3259668508287292
2020-02-26 08:00,4.0,3.0,7.0,8.32,73.0,34.0,400.0,30.0,6.85331986872002,2.6353591160220993
2020-02-26 09:00,4.0,4.0,7.0,11.08,64.97,115.0,400.0,27.0,6.695967157691379,3.2320441988950277
2020-02-26 10:00,5.0,5.0,9.0,12.81,62.61,234.0,400.0,33.0,6.617912520249942,4.81767955801105
2020-02-26 11:00,4.0,3.0,7.0,17.68,55.72,516.0,570.0,30.0,5.638972460078685,4.154696132596685
2020-02-26 12:00,6.0,4.0,7.0,16.25,50.66,439.0,447.0,24.0,5.074751214996528,3.4419889502762433
2020-02-26 13:00,15.0,12.0,22.0,15.13,49.47,403.0,400.0,15.0,4.092571164082388,5.425414364640884
2020-02-26 14:00,12.0,12.0,21.0,15.67,43.28,448.0,413.0,51.0,4.357324693358019,13.596685082872929
2020-02-26 15:00,8.0,8.0,13.0,15.28,45.18,443.0,400.0,21.0,4.646146725295071,8.044198895027625
2020-02-26 16:00,16.0,21.0,36.0,14.98,47.58,496.0,400.0,36.0,4.925017357093266,13.67403314917127
2020-02-26 17:00,17.0,21.0,35.0,13.98,49.99,370.0,400.0,27.0,5.434853043277019,17.83977900552486
2020-02-26 18:00,15.0,19.0,34.0,12.67,51.6,302.0,400.0,27.0,6.258273547789863,19.773480662983424
2020-02-26 19:00,23.0,23.0,39.0,10.03,60.74,188.0,400.0,36.0,7.108076834066188,20.994475138121548
2020-02-26 20:00,27.0,27.0,46.0,9.7,63.27,235.0,400.0,24.0,7.4679472344364735,22.060773480662984
2020-02-26 21:00,20.0,21.0,35.0,9.83,58.71,197.0,400.0,33.0,7.933811617681092,26.408839779005525
2020-02-26 22:00,45.0,43.0,69.0,9.6,60.01,173.0,400.0,45.0,9.242536449895857,35.71823204419889
2020-02-26 23:00,12.0,13.0,25.0,9.14,61.63,138.0,400.0,27.0,10.26429067345522,24.629834254143645
2020-02-27 00:00,46.0,42.0,68.0,8.6,64.69,76.0,400.0,18.0,10.889840314741958,15.005524861878452
2020-02-27 01:00,0.0,0.0,1.0,7.48,63.63,7.0,400.0,30.0,11.342513307104836,11.03867403314917
2020-02-27 02:00,6.0,4.0,7.0,6.88,64.1,16.0,400.0,18.0,11.366813237676464,0.9502762430939227
2020-02-27 03:00,0.0,0.0,2.0,6.69,62.84,0.0,400.0,30.0,11.962277250636427,15.38121546961326
2020-02-27 04:00,1.0,0.0,1.0,6.53,63.84,8.0,400.0,21.0,11.892386021754223,0.23756906077348067
2020-02-27 05:00,2.0,1.0,5.0,6.16,63.74,0.0,400.0,21.0,11.628789632029623,0.9392265193370166
2020-02-27 06:00,2.0,1.0,5.0,6.13,64.36,23.0,400.0,45.0,11.352001851423282,1.2651933701657458
2020-02-27 07:00,10.0,6.0,11.0,6.59,64.65,3.0,400.0,21.0,11.391344596158296,2.265193370165746
2020-02-27 08:00,3.0,1.0,4.0,7.95,62.21,79.0,400.0,36.0,11.632261050682713,8.403314917127071
2020-02-27 09:00,5.0,4.0,7.0,11.78,54.37,135.0,400.0,30.0,11.704697986577182,4.94475138121547
2020-02-27 10:00,11.0,8.0,13.0,13.86,50.09,365.0,400.0,24.0,11.815783383476047,7.464088397790055
2020-02-27 11:00,65.0,53.0,77.0,12.58,51.67,309.0,400.0,27.0,12.463781532052765,19.65193370165746
2020-02-27 12:00,5.0,3.0,6.0,14.06,48.83,350.0,400.0,42.0,13.509141402453135,28.668508287292816
2020-02-27 13:00,5.0,4.0,7.0,18.39,40.37,541.0,519.0,39.0,13.4457301550567,3.861878453038674
2020-02-27 14:00,7.0,6.0,10.0,16.1,40.3,348.0,400.0,45.0,13.048368433233048,4.066298342541437
2020-02-27 15:00,7.0,6.0,12.0,16.93,41.25,476.0,400.0,27.0,12.900717426521638,4.50828729281768
2020-02-27 16:00,8.0,6.0,11.0,17.57,37.79,478.0,400.0,24.0,12.585049757000695,6.05524861878453
2020-02-27 17:00,17.0,18.0,30.0,15.9,39.22,454.0,409.0,30.0,12.262207822263365,10.049723756906078
2020-02-27 18:00,24.0,24.0,37.0,12.09,47.41,289.0,400.0,21.0,12.262207822263365,19.76795580110497
2020-02-27 19:00,25.0,25.0,41.0,9.95,55.42,169.0,400.0,15.0,12.721823651932423,31.972375690607734
2020-02-27 20:00,21.0,24.0,40.0,9.3,58.55,183.0,400.0,42.0,12.69497801434853,21.408839779005525
2020-02-27 21:00,24.0,25.0,38.0,8.08,61.53,146.0,400.0,54.0,12.423050219856515,19.933701657458563
2020-02-27 22:00,25.0,25.0,42.0,7.95,63.08,155.0,400.0,57.0,11.978014348530433,24.994475138121548
2020-02-27 23:00,26.0,25.0,40.0,7.67,63.11,120.0,400.0,33.0,11.894700300856282,22.70718232044199
2020-02-28 00:00,17.0,18.0,31.0,7.51,63.49,92.0,400.0,36.0,12.273084934043046,23.944751381215468
2020-02-28 01:00,13.0,14.0,27.0,6.64,63.17,50.0,400.0,42.0,12.412635963897246,14.469613259668508
2020-02-28 02:00,12.0,12.0,23.0,7.35,65.1,94.0,400.0,54.0,12.88798889146031,12.353591160220995
